,Date,Ticker,Transaction,Transaction Price,Number of shares,Transaction Cost,Close
824,2014-07-31,TSLA,,,,,223.3
823,2014-07-31,AAPL,,,,,95.6
826,2014-08-01,TSLA,,,,,233.27
825,2014-08-01,AAPL,,,,,96.13
828,2014-08-04,AAPL,,,,,95.59
827,2014-08-04,TSLA,,,,,238.52
829,2014-08-05,TSLA,,,,,238.49
830,2014-08-05,AAPL,,,,,95.12
832,2014-08-06,AAPL,,,,,94.96
831,2014-08-06,TSLA,,,,,248.93
834,2014-08-07,TSLA,,,,,252.39
833,2014-08-07,AAPL,,,,,94.48
836,2014-08-08,TSLA,,,,,248.13
835,2014-08-08,AAPL,,,,,94.74
837,2014-08-11,AAPL,,,,,95.99
838,2014-08-11,TSLA,,,,,259.32
839,2014-08-12,TSLA,,,,,259.96
840,2014-08-12,AAPL,,,,,95.97
841,2014-08-13,TSLA,,,,,260.31
842,2014-08-13,AAPL,,,,,97.24
843,2014-08-14,TSLA,,,,,261.38
844,2014-08-14,AAPL,,,,,97.5
845,2014-08-15,TSLA,,,,,262.01
846,2014-08-15,AAPL,,,,,97.98
847,2014-08-18,TSLA,,,,,259.94
848,2014-08-18,AAPL,,,,,99.16
849,2014-08-19,AAPL,,,,,100.53
850,2014-08-19,TSLA,,,,,256.76
851,2014-08-20,AAPL,,,,,100.57
852,2014-08-20,TSLA,,,,,255.71
853,2014-08-21,AAPL,,,,,100.58
854,2014-08-21,TSLA,,,,,254.34
855,2014-08-22,AAPL,,,,,101.32
856,2014-08-22,TSLA,,,,,256.78
857,2014-08-25,TSLA,,,,,262.55
858,2014-08-25,AAPL,,,,,101.54
860,2014-08-26,AAPL,,,,,100.89
859,2014-08-26,TSLA,,,,,261.74
861,2014-08-27,AAPL,,,,,102.13
862,2014-08-27,TSLA,,,,,263.25
864,2014-08-28,TSLA,,,,,263.86
863,2014-08-28,AAPL,,,,,102.25
866,2014-08-29,AAPL,,,,,102.5
865,2014-08-29,TSLA,,,,,269.7
867,2014-09-02,TSLA,,,,,284.12
868,2014-09-02,AAPL,,,,,103.3
869,2014-09-03,AAPL,,,,,98.94
870,2014-09-03,TSLA,,,,,281.19
871,2014-09-04,AAPL,,,,,98.12
872,2014-09-04,TSLA,,,,,286.04
873,2014-09-05,AAPL,,,,,98.97
874,2014-09-05,TSLA,,,,,277.39
875,2014-09-08,AAPL,,,,,98.36
876,2014-09-08,TSLA,,,,,282.11
878,2014-09-09,TSLA,,,,,278.48
877,2014-09-09,AAPL,,,,,97.99
879,2014-09-10,TSLA,,,,,281.1
880,2014-09-10,AAPL,,,,,101.0
881,2014-09-11,TSLA,,,,,280.31
882,2014-09-11,AAPL,,,,,101.43
883,2014-09-12,AAPL,,,,,101.66
884,2014-09-12,TSLA,,,,,279.2
885,2014-09-15,TSLA,,,,,253.86
886,2014-09-15,AAPL,,,,,101.63
887,2014-09-16,TSLA,,,,,260.74
888,2014-09-16,AAPL,,,,,100.86
890,2014-09-17,TSLA,,,,,261.38
889,2014-09-17,AAPL,,,,,101.58
892,2014-09-18,TSLA,,,,,263.82
891,2014-09-18,AAPL,,,,,101.79
893,2014-09-19,AAPL,,,,,100.96
894,2014-09-19,TSLA,,,,,259.32
895,2014-09-22,AAPL,,,,,101.06
896,2014-09-22,TSLA,,,,,250.03
898,2014-09-23,TSLA,,,,,250.41
897,2014-09-23,AAPL,,,,,102.64
900,2014-09-24,TSLA,,,,,252.14
