,Date,Ticker,Transaction,Transaction Price,Number of shares,Transaction Cost,Close,Net Shares,Cummulative Shares,Avg Price per Share,Cummulative Contributions,Daily Balance,Unrealized Gains(Losses)
93,2012-07-17,AAPL,,,0.0,,86.71,-0.0,100.0,77.8,7780.0,8671.0,891.0
94,2012-07-18,AAPL,,,0.0,,86.61,-0.0,100.0,77.8,7780.0,8661.0,881.0
95,2012-07-19,AAPL,,,0.0,,87.76,-0.0,100.0,77.8,7780.0,8776.0,996.0
96,2012-07-20,AAPL,,,0.0,,86.33,-0.0,100.0,77.8,7780.0,8633.0,853.0
97,2012-07-23,AAPL,,,0.0,,86.26,-0.0,100.0,77.8,7780.0,8626.0,846.0
98,2012-07-24,AAPL,,,0.0,,85.85,-0.0,100.0,77.8,7780.0,8585.0,805.0
99,2012-07-25,AAPL,,,0.0,,82.14,-0.0,100.0,77.8,7780.0,8214.0,434.0
100,2012-07-26,AAPL,,,0.0,,82.13,-0.0,100.0,77.8,7780.0,8213.0,433.0
101,2012-07-27,AAPL,,,0.0,,83.59,-0.0,100.0,77.8,7780.0,8359.0,579.0
102,2012-07-30,AAPL,,,0.0,,85.0,-0.0,100.0,77.8,7780.0,8500.0,720.0
103,2012-07-31,AAPL,,,0.0,,87.25,-0.0,100.0,77.8,7780.0,8725.0,945.0
104,2012-08-01,AAPL,,,0.0,,86.69,-0.0,100.0,77.8,7780.0,8669.0,889.0
105,2012-08-02,AAPL,,,0.0,,86.83,-0.0,100.0,77.8,7780.0,8683.0,903.0
106,2012-08-03,AAPL,,,0.0,,87.96,-0.0,100.0,77.8,7780.0,8796.0,1016.0
107,2012-08-06,AAPL,,,0.0,,88.94,-0.0,100.0,77.8,7780.0,8894.0,1114.0
108,2012-08-07,AAPL,,,0.0,,88.7,-0.0,100.0,77.8,7780.0,8870.0,1090.0
109,2012-08-08,AAPL,,,0.0,,88.55,-0.0,100.0,77.8,7780.0,8855.0,1075.0
110,2012-08-09,AAPL,,,0.0,,88.68,-0.0,100.0,77.8,7780.0,8868.0,1088.0
111,2012-08-10,AAPL,,,0.0,,88.81,-0.0,100.0,77.8,7780.0,8881.0,1101.0
112,2012-08-13,AAPL,,,0.0,,90.0,-0.0,100.0,77.8,7780.0,9000.0,1220.0
113,2012-08-14,AAPL,,,0.0,,90.24,-0.0,100.0,77.8,7780.0,9024.0,1244.0
114,2012-08-15,AAPL,,,0.0,,90.12,-0.0,100.0,77.8,7780.0,9012.0,1232.0
115,2012-08-16,AAPL,,,0.0,,90.91,-0.0,100.0,77.8,7780.0,9091.0,1311.0
116,2012-08-17,AAPL,,,0.0,,92.59,-0.0,100.0,77.8,7780.0,9259.0,1479.0
117,2012-08-20,AAPL,,,0.0,,95.02,-0.0,100.0,77.8,7780.0,9502.0,1722.0
118,2012-08-21,AAPL,,,0.0,,93.72,-0.0,100.0,77.8,7780.0,9372.0,1592.0
119,2012-08-22,AAPL,,,0.0,,95.55,-0.0,100.0,77.8,7780.0,9555.0,1775.0
120,2012-08-23,AAPL,,,0.0,,94.66,-0.0,100.0,77.8,7780.0,9466.0,1686.0
121,2012-08-24,AAPL,,,0.0,,94.75,-0.0,100.0,77.8,7780.0,9475.0,1695.0
122,2012-08-27,AAPL,,,0.0,,96.53,-0.0,100.0,77.8,7780.0,9653.0,1873.0
123,2012-08-28,AAPL,,,0.0,,96.4,-0.0,100.0,77.8,7780.0,9640.0,1860.0
124,2012-08-29,AAPL,,,0.0,,96.21,-0.0,100.0,77.8,7780.0,9621.0,1841.0
125,2012-08-30,AAPL,,,0.0,,94.84,-0.0,100.0,77.8,7780.0,9484.0,1704.0
